accession	start	end	direction	length	Pfam/Hmm	name	description	E-value
PST83892.1_10	10285	11067	1	261	none	none	none	none
PST83892.1_11	11051	12268	1	406	PF00534	Glycos_transf_1	Glycosyl transferases group 1	6.5e-22
PST83892.1_11	11051	12268	1	406	PF13692	Glyco_trans_1_4	Glycosyl transferases group 1	9.9e-18
PST83892.1_11	11051	12268	1	406	PF20706	GT4-conflict	Family 4 Glycosyltransferase in conflict systems	6.2e-06
PST83892.1_12	12268	13476	1	403	PF05147	LANC_like	Lanthionine synthetase C-like protein	3.6e-29
PST83892.1_13	13531	16551	1	1007	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	1.3e-128
PST83892.1_13	13531	16551	1	1007	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	1e-52
PST83892.1_14	16548	18656	1	703	PF03572	Peptidase_S41	Peptidase family S41	2.5e-11
PST83892.1_15	18631	20001	1	457	PF02321	OEP	Outer membrane efflux protein	1.4e-29
PST83892.1_16	20001	20924	1	308	PF00535	Glycos_transf_2	Glycosyl transferase family 2	4.8e-31
PST83892.1_16	20001	20924	1	308	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.1e-15
PST83892.1_16	20001	20924	1	308	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.2e-11
PST83892.1_17	20913	21560	-1	216	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	5.3e-09
PST83892.1_18	21810	22538	-1	243	PF01844	HNH	HNH endonuclease	4.5e-06
PST83892.1_19	23140	23751	-1	204	PF14267	DUF4357	Domain of unknown function (DUF4357)	2.8e-16
PST83892.1_20	24274	24651	1	126	PF00872	Transposase_mut	Transposase, Mutator family	1.6e-08
PST83892.1_21	25406	25603	1	66	none	none	none	none
PST83892.1_22	25575	26456	1	294	PF00872	Transposase_mut	Transposase, Mutator family	3e-81
PST83892.1_23	26588	27187	-1	200	none	none	none	none
PST83892.1_24	27147	28619	-1	491	none	none	none	none
PST83892.1_25	28726	28905	1	60	none	none	none	none
PST83892.1_26	28922	29173	-1	84	PF17293	Arm-DNA-bind_5	Arm DNA-binding domain	4.6e-10
PST83892.1_27	29909	30220	1	104	PF01527	HTH_Tnp_1	Transposase	5.9e-24
PST83892.1_27	29909	30220	1	104	PF13384	HTH_23	Homeodomain-like domain	2.9e-07
PST83892.1_28	30193	31026	1	278	PF13683	rve_3	Integrase core domain	1.4e-27
PST83892.1_28	30193	31026	1	278	PF00665	rve	Integrase core domain	2.6e-24
PST83892.1_28	30193	31026	1	278	PF13276	HTH_21	HTH-like domain	2.5e-11
PST83892.1_29	31403	31711	1	103	none	none	none	none
PST83892.1_30	31743	32504	1	254	none	none	none	none
PST83892.1_31	32655	35309	1	885	none	none	none	none
PST83892.1_32	35558	36631	-1	358	PF03462	PCRF	PCRF domain	1.5e-77
PST83892.1_32	35558	36631	-1	358	PF00472	RF-1	RF-1 domain	9.1e-39
PST83892.1_33	36833	37633	-1	267	PF00149	Metallophos	Calcineurin-like phosphoesterase	3.4e-09
PST83892.1_33	36833	37633	-1	267	PF12850	Metallophos_2	Calcineurin-like phosphoesterase superfamily domain	3e-06
PST83892.1_34	37842	37943	-1	34	none	none	none	none
PST83892.1_35	37981	38991	1	337	PF07992	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	2.3e-25
PST83892.1_35	37981	38991	1	337	PF13738	Pyr_redox_3	Pyridine nucleotide-disulphide oxidoreductase	7.1e-21
PST83892.1_35	37981	38991	1	337	PF00070	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase	1.8e-11
PST83892.1_35	37981	38991	1	337	PF03486	HI0933_like	HI0933-like protein	3.7e-08
PST83892.1_36	39068	39397	1	110	PF00111	Fer2	2Fe-2S iron-sulfur cluster binding domain	6e-08
PST83892.1_37	39406	40923	-1	506	PF03572	Peptidase_S41	Peptidase family S41	6.5e-52
PST83892.1_37	39406	40923	-1	506	PF13180	PDZ_2	PDZ domain	2.1e-09
PST83892.1_37	39406	40923	-1	506	PF17820	PDZ_6	PDZ domain	2.8e-09
PST83892.1_37	39406	40923	-1	506	PF00595	PDZ	PDZ domain	1.1e-06
WP_107213801.1_1	284	541	-1	86	PF11625	DUF3253	Protein of unknown function (DUF3253)	1.3e-27
WP_107213801.1_2	865	2283	1	473	PF00144	Beta-lactamase	Beta-lactamase	1.2e-54
WP_107213801.1_3	3197	3706	1	170	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	1.4e-07
WP_107213801.1_4	3711	4832	1	374	PF11051	Mannosyl_trans3	Mannosyltransferase putative	4.7e-48
WP_107213801.1_5	4822	5763	-1	314	PF05050	Methyltransf_21	Methyltransferase FkbM domain	2.2e-13
WP_107213801.1_5	4822	5763	-1	314	PF02475	Met_10	Met-10+ like-protein	2.2e-06
WP_107213801.1_6	5920	6090	1	57	none	none	none	none
WP_107213801.1_7	6391	6744	1	118	none	none	none	none
WP_107213801.1_8	6931	8976	1	682	PF00005	ABC_tran	ABC transporter	7.3e-26
WP_107213801.1_8	6931	8976	1	682	PF00664	ABC_membrane	ABC transporter transmembrane region	9.6e-26
WP_107213801.1_8	6931	8976	1	682	PF03412	Peptidase_C39	Peptidase C39 family	1.3e-14
WP_107213801.1_8	6931	8976	1	682	PF02463	SMC_N	RecF/RecN/SMC N terminal domain	8.5e-07
WP_107213801.1_9	8973	10283	1	437	PF13437	HlyD_3	HlyD family secretion protein	2.4e-07
WP_107213801.1_10	10285	11067	1	261	none	none	none	none
WP_107213801.1_11	11051	12268	1	406	PF00534	Glycos_transf_1	Glycosyl transferases group 1	6.5e-22
WP_107213801.1_11	11051	12268	1	406	PF13692	Glyco_trans_1_4	Glycosyl transferases group 1	9.9e-18
WP_107213801.1_11	11051	12268	1	406	PF20706	GT4-conflict	Family 4 Glycosyltransferase in conflict systems	6.2e-06
WP_107213801.1_12	12268	13476	1	403	PF05147	LANC_like	Lanthionine synthetase C-like protein	3.6e-29
WP_107213801.1_13	13531	16551	1	1007	PF04738	Lant_dehydr_N	Lantibiotic dehydratase, N terminus	1.3e-128
WP_107213801.1_13	13531	16551	1	1007	PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term	1e-52
WP_107213801.1_14	16548	18656	1	703	PF03572	Peptidase_S41	Peptidase family S41	2.5e-11
WP_107213801.1_15	18631	20001	1	457	PF02321	OEP	Outer membrane efflux protein	1.4e-29
WP_107213801.1_16	20001	20924	1	308	PF00535	Glycos_transf_2	Glycosyl transferase family 2	4.8e-31
WP_107213801.1_16	20001	20924	1	308	PF13641	Glyco_tranf_2_3	Glycosyltransferase like family 2	1.1e-15
WP_107213801.1_16	20001	20924	1	308	PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2	4.2e-11
WP_107213801.1_17	20913	21560	-1	216	PF04488	Gly_transf_sug	Glycosyltransferase sugar-binding region containing DXD motif	5.3e-09
WP_107213801.1_18	21810	22538	-1	243	PF01844	HNH	HNH endonuclease	4.5e-06
WP_107213801.1_19	23140	23751	-1	204	PF14267	DUF4357	Domain of unknown function (DUF4357)	2.8e-16
WP_107213801.1_20	24274	24651	1	126	PF00872	Transposase_mut	Transposase, Mutator family	1.6e-08
WP_107213801.1_21	25406	25603	1	66	none	none	none	none
WP_107213801.1_22	25575	26456	1	294	PF00872	Transposase_mut	Transposase, Mutator family	3e-81
WP_107213801.1_23	26588	27187	-1	200	none	none	none	none
WP_107213801.1_24	27147	28619	-1	491	none	none	none	none
WP_107213801.1_25	28726	28905	1	60	none	none	none	none
WP_107213801.1_26	28922	29173	-1	84	PF17293	Arm-DNA-bind_5	Arm DNA-binding domain	4.6e-10
WP_107213801.1_27	29909	30220	1	104	PF01527	HTH_Tnp_1	Transposase	5.9e-24
WP_107213801.1_27	29909	30220	1	104	PF13384	HTH_23	Homeodomain-like domain	2.9e-07
WP_107213801.1_28	30193	31026	1	278	PF13683	rve_3	Integrase core domain	1.4e-27
WP_107213801.1_28	30193	31026	1	278	PF00665	rve	Integrase core domain	2.6e-24
WP_107213801.1_28	30193	31026	1	278	PF13276	HTH_21	HTH-like domain	2.5e-11
WP_107213801.1_29	31403	31711	1	103	none	none	none	none
WP_107213801.1_30	31743	32504	1	254	none	none	none	none
WP_107213801.1_31	32655	35309	1	885	none	none	none	none
WP_107213801.1_32	35558	36631	-1	358	PF03462	PCRF	PCRF domain	1.5e-77
WP_107213801.1_32	35558	36631	-1	358	PF00472	RF-1	RF-1 domain	9.1e-39
WP_107213801.1_33	36833	37633	-1	267	PF00149	Metallophos	Calcineurin-like phosphoesterase	3.4e-09
WP_107213801.1_33	36833	37633	-1	267	PF12850	Metallophos_2	Calcineurin-like phosphoesterase superfamily domain	3e-06
WP_107213801.1_34	37842	37943	-1	34	none	none	none	none
WP_107213801.1_35	37981	38991	1	337	PF07992	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	2.3e-25
WP_107213801.1_35	37981	38991	1	337	PF13738	Pyr_redox_3	Pyridine nucleotide-disulphide oxidoreductase	7.1e-21
WP_107213801.1_35	37981	38991	1	337	PF00070	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase	1.8e-11
WP_107213801.1_35	37981	38991	1	337	PF03486	HI0933_like	HI0933-like protein	3.7e-08
WP_107213801.1_36	39068	39397	1	110	PF00111	Fer2	2Fe-2S iron-sulfur cluster binding domain	6e-08
WP_107213801.1_37	39406	40923	-1	506	PF03572	Peptidase_S41	Peptidase family S41	6.5e-52
WP_107213801.1_37	39406	40923	-1	506	PF13180	PDZ_2	PDZ domain	2.1e-09
WP_107213801.1_37	39406	40923	-1	506	PF17820	PDZ_6	PDZ domain	2.8e-09
WP_107213801.1_37	39406	40923	-1	506	PF00595	PDZ	PDZ domain	1.1e-06
